int variables are 4 bytes
short int variables are 2 bytes

Buildings                       ID#
"Plasma Rifle",                         138
"Plasma Torpedoes",                     139
"Plasma Web",                           140
"Pleasure Dome",                        141
"Pollution Processor",                  142
"Positronic Computer",                  143
"Powered Armor",                        144
"Pulse Rifle",                          145
"Proton Torpedoes",                     146
"Psionics",                             147
"Pulsar",                               148
"Pulson Missile",                       149
"Quantum Detonator",                    150
"Rangemaster Unit",                     151
"Recyclotron",                          152
"Reflection Field",                     153
"Robotic Factory",                      154
"Research Laboratory",                  155
"Robo-Miners",                          156
"Space Scanner",                        157
"Scout Lab",                            158
"Security Stations",                    159
"Sensors",                              160
"Shield Capacitors",                    161
"Soil Enrichment",                      162
"Space Academy",                        163
"Spaceport",                            164
"Spatial Compressor",                   165
"Spy Network",                          166
"Standard Fuel Cells",                  167
"Star Base",                            168
"Star Fortress",                        169
"Star Gate",                            170
"Stasis Field",                         171
"Stealth Field",                        172
"Stealth Suit",                         173
"Stellar Converter",                    174
"Structural Analyzer",                  175
"Sub-Space Communications",             176
"Sub-Space Teleporter",                 177
"Subterranean Farms",                   178
"Survival Pods",                        179
"Tachyon Communications",               180
"Tachyon Scanner",                      181
"Telepathic Training",                  182
"Terraforming",                         183
"Thorium Fuel Cells",                   184
"Time Warp Facilitator",                185
"Titan Construction",                   186
"Titanium Armor",                       187
"Tractor Beam",                         188
"Transport",                            189
"Transporters",                         190
"Tritanium Armor",                      191
"Troop Pods",                           192
"Universal Antidote",                   193
"Urridium Fuel Cells",                  194
"Virtual Reality Network",              195
"Warp Dissipater",                      196
"Warp Interdictor",                     197
"Weather Control System",               198
"Wide Area Jammer",                     199
"Xeno Psychology",                      200
"Xentronium Armor",                     201
"Zeon Missile",                         202
"Zortrium Armor",                       203
"Hyper Biology",                        204
"Hyper Power",                          205
"Hyper Physics",                        206
"Hyper Construction",                   207
"Hyper Fields",                         208
"Hyper Chemistry",                      209
"Hyper Computers",                      210
"Hyper Sociology",                      211

#define  MAX_TECH_APPLICATIONS         212


===================
----   SHIPS   ----
===================

//SHIP SIZES
#define  SMALL_SHIP              0
#define  MEDIUM_SHIP             1
#define  LARGE_SHIP              2
#define  HUGE_SHIP               3
#define  TITAN_SHIP              4
#define  DOOM_STAR_SHIP          5


// values for ship type field:
#define  COMBAT_SHIP_TYPE         0
#define  COLONY_SHIP_TYPE         1
#define  TRANSPORT_SHIP_TYPE      2
#define  UNUSED                   3
#define  OUTPOST_SHIP_TYPE        4


Weapon Specials 
-----------------
#define  NO_MODS                1     
#define  HEAVY_MOUNT            2     
#define  POINT_DEFENSE          4     
#define  ARMOR_PIERCING         8     
#define  CONTINUOUS             16    
#define  NO_RANGE_DISSIPATION   32    
#define  SHIELD_PIERCING        64    
#define  AUTO_FIRE              128   
#define  ENVELOPING             256   
#define  MIRV                   512   
#define  ECCM                   1024  
#define  HEAVILY_ARMORED        2048  
#define  FAST                   4096  
#define  EMMISIONS_GUIDANCE     8192  
#define  OVERLOADED            16384  


struct s_ship_weapons {
   short int  type;
   char       count;
   char       current_count;      // damaged if < count
   char       firing_arc;         // 1-F, 2-FX, 4-Bx, 8-B, 16-360
   short int  specials;           // bit vector
   char       ammo;               // valid for missiles only
};


struct s_ship_design {
   char  name[16];
   char  size;
   char  ship_type;
   char  shield_type;
   char  ftl_type;
   char  speed;          
   char  computer_type;
   char  armor_type;
   char  special_device_flags[(MAX_SPECIALS+7)/8];
   struct s_ship_weapons ship_weapon[MAX_SHIP_WEAPONS];
   char  picture_num;           
   char  previous_owner;
   short int  cost;
   unsigned char combat_speed;
   unsigned short int  date_of_design;
}



-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
-----                           SAVE FORMAT START                       -------------
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------


int     version
char    description[37] - save game description
int     game type       - 0:Single Player, 1:Hotseat, 2:Network, 3:Modem


char  end_of_turn_summary;           
char  end_of_turn_wait;
char  random_events;
char  enemy_moves;
char  expanding_help;
char  auto_select_ships;
char  animations_on;
char  auto_select_colony;
char  show_relocation_lines;
char  show_gnn_report;
char  auto_delete_tg_housing; 
char  auto_saves;

char  only_show_serious_turn_summary_reports; 

char  ship_initiative; 
char  option_14;
char  option_15;
char  option_16; 

char sound_fx_on;    
char sound_fx_level;
char music_on;       
char music_level;  
signed char active_save_slot;
unsigned char  multi_player_game_type; 

char net_game_name[NET_GAME_NAME_LENGTH + 1]; //9 bytes
struct s_modem_comm modem_settings;           //131 bytes
struct s_modem_init_string modem_init_string; //11 bytes

char  combat_speed_flag;
char  combat_legal_moves_flag;
char  combat_msl_impact_flag;
char  combat_shield_arcs_flag;
char  combat_grid_flag; 

char filler1[25];
uchar language; 
char xenons_exist_flag;        
char game_difficulty;            
char number_of_players;          
char galaxy_size;                
char galaxy_age;     
char strategic_combat_flag;
char starting_civilization_level;
unsigned long start_of_game_seed;

short int  sound_toggle;               
short int  mouse_driver;          

short int  release_version;

char        dummy[10][20];
short int   dummy[10];
short int   dummy[10];
char        dummy[10];
uchar       filler2[75];

unsigned long  random_seed

short int current_colony_count;

===========================================
===========================================

250 Colony records


struct s_colony {

   char       owner;                         // 0..NUM_PLAYERS or -1
   char       allocated_to;                  // bookeeping
   short int  planet;                        // planet id
   short int  officer;                       // not used 

   char  outpost_flag;                   // TRUE if an outpost

   char  morale;                       // morale bonus +/-
   short int  pollution;                     // production lost to pollution

   char  n_pops;                       // total population
   char  specialty;                    // Colony specialty used in display only

   ----------
   //   struct Pop_Info {
   //           unsigned player:4;           // player id or POP_ANDROID or POP_NATIVE
   //           unsigned loyalty:3;          // player id
   //           unsigned job:2;              // 0-farmer, 1-worker, 2-scientist
   //           unsigned employed:1;
   //           unsigned conquered:1;        // true iff loyalty != colony owner
   //   };
   ----------
   struct Pop_Info pop[MAX_POPS];       //

   short int   pop_roundoff[N_POP_PLAYERS];  // K toward next pop unit for each race
   short int   pop_growth[N_POP_PLAYERS];    // each race grows independently

   char  n_turns_existed;               // bookeeping
   char  food2_per_farmer;              // Food per farmer in half-units of food
   char  industry_per_worker;
   uchar  research_per_scientist;
   char  max_farms;                     // 
   char  max_population;
   char  climate;

   short int   ground_strength;         // calculated for ai
   short int   space_strength;          // calculated for ai

   short int   total_production[3];     // gross amount produced  0-food, 1-industry, 2-research
   char  maintenance[3];                // how much is spent feeding people/androids 0-food, 1-industry, 2-research

   short int   imports[3];              // + means importing, - means surplus
                                        // (surplus exported only if unblockaded)

   char n_industry_recyclers;           // for recycling pollution reduction

   // for parcelling out food/metal in priority ordering:
   // counted in half units due to cybernetic woes.
   char food2_needed_for_our_empire;                   //-------------------------------
   char food2_needed_for_assimilated;                  //
   char food2_needed_for_conquered;                    //
   char food2_needed_for_natives;                      //these are all bookeeping entries
   char industry2_needed_for_our_empire;               //
   char industry2_needed_for_androids;                 //
   char industry2_needed_for_assimilated;              //
   char industry2_needed_for_conquered;                //
   char food2_needed_for_empire[MAX_PLAYERS];          //
   char industry2_needed_for_empire[MAX_PLAYERS];      //
   char n_food_replicated;                             //

   short int  producing[7];                            // building queue
   short int  just_produced;                           // if not -1, then colony completed this product last turn
   short int  production_spent;
   short int  n_industry_taxed;
   char       auto_building;
   short int  production_surplus;                      // for when production is changed
   short int  bought_outright;                         // amount of production bought
                                                       //---------------------------

   char occupation_points;                             // 240 points to assimilate 1 pop.
   char occupation_policy;                             // 0-genocide , 3-normal

   // military
   short int military[2];                              // 0-infantry, 1-tanks
   char tank_roundoff;
   char infantry_roundoff;

   char buildings[MAX_BUILDINGS];
   unsigned short int last_turn_building_destroyed;
};


===========================================
===========================================

360 Planet records

struct s_planet_data {  
   short int  colony_index;             //-1 = NONE
   char  star_index;                    
   char  orbit;
   char  planet_type;   
   char  size;
   char  gravity_class;
   char  group;                         //not used
   char  climate;
   char  climate_bg_type;               //display background  (0, 1, or 2)
   char  mineral_class;                 
   char  food_per_farmer;
   char  n_terraforms;
   char  max_farms;
   char  max_population;
   char  planet_special;
   char  environmental_alterations;     // bitvector permanent planet alterations  
                                        // 2 - Soil Enrichment is the only one in use.
};


===========================================
===========================================

72 (MAX_STARS) Star Records

struct s_star_data {
   char  name[15];
   short int  x;                                        // x coordinate of star
   short int  y;                                        // y coordinate of star
   char  size;                                          //display type (0,1, or 2)
   char  owner;
   char  pict_type;                                     
   char  spectral_class;                                // star color
   char  last_planet_selected[MAX_PLAYERS];             // bookeeping
   char  black_hole_blocks[(MAX_STARS + 7) / 8];        // precomputed bitfield if bit is set there is a black hole between the stars.
   char  system_special;                                // NO_SPECIAL is valid
   char  wormhole_star_id;                              //NONE is valid
   char  blockaded;     // bitvector tells whether each player is blockaded
                        // e.g. TEST_BIT(blockaded, i) tells whether i is blockaded by anyone
                        // this is NOT superseded by blockaded_by because nonplayer monsters & antarans can also blockade a player
   char blockaded_by[MAX_PLAYERS]; // indexed by player, bitvector tells whether given player blockades index player
                                   // e.g. TEST_BIT(blockaded_by[i], j) tells whether i is blockaded by j
                                   // this is for diplomacy so AI can tell which players are blockading them at a star
   char visited;                   // bitvector tells whether each player has ever visited
   char just_visited;              // bitvector tells whether each player 1st visited on prev turn & should get report
   char ignore_colony_ships; // bitvector tells if each player requested ignore colony ships
                             // reset each time a new colony ship enters star
   char ignore_combat_ships; // bitvector tells if each player requested ignore combat ships
                             // (the much requested "don't make me hit Only Blockade" feature)
                             // reset each time a new combat ship enters star
   char colonize_player;     // 0..7 or -1 
   char has_colony;          // bitvector tells whether each player has a colony
   char has_warp_field_interdictor; // bitvector tells whether each player has a wfi in system
   char next_wfi_in_list;           // bookeeping
   char has_tachyon;                // bitvector tells whether each player has a tachyon
   char has_subspace;               // bitvector tells whether each player has a subspace
   char has_stargate;               // bitvector tells whether each player has a stargate
   char has_jumpgate;               // bitvector tells whether each player has a jumpgate
   char has_artemis_net;            // bitvector
   char has_dimensional_portal;     // bitvector

   char is_stagepoint;              // bitvector tells whether star is stagepoint for each AI
   char officer_index[MAX_PLAYERS]; //officers are now at stars and not colonies
   int planet_index[5];
   int relocate_ship_to[MAX_PLAYERS]; //star index all ships will be relocated TO
   char not_used;                     //
   char not_used;                     //
   char not_used;                     //
   char surrender_to[MAX_PLAYERS];    // normally -1, else player to give colonies to
   char in_nebula;                    // is this star in a nebula?
   char artifacts_gave_app;           // has the ancient artifacts app been given out yet?
};

===========================================
===========================================

67 leader records

struct s_leader_data {
        char            name[15];
        char            title[20];
        char            type;           //0-ship 1-colony
        short int       xp;
        unsigned int    general_skills; //bitvector for general skills
        unsigned int    special_skills; //bitvector includes either ship || colony skills
        unsigned char   tech_application[3];    // Application id's of inherent techs
        char            pict_num;

        short int  skill_value;             //  
        char       level;                   //
        short int  location;                //
        char       eta;                     //
        char       display_level_popup;     //if TRUE, draw officer-made-level popup
        char       status;                  //
        char       player_index;            //
};

===========================================
===========================================

8 Player records

struct   s_player
 {
   char  picture;
   char  name[20];
   char  race_name[15];
   char  eliminated;
   char  race;
   char  color;
   char  personality;
   char  objectives;            
   short int home_planet_id;

   short int network_player_id;         //bookeeping
   char  player_done_flags;             //bookeeping

   unsigned short int  dead_field;
   char  research_breakthrough;         // did they complete a field this turn?

   char  tax_rate;                      // taxes are 0,10,20,30,40,50% of industry production
   int   bc;                            // our current amount of cash

   short int  n_freighters;
   short int  surplus_freighters;       //bookeeping

   short int command_points;
   short int command_points_used;

   // sum of following 3 should be <= n_freighters * FREIGHTER_CAPACITY
   short int  food_freighted;
   short int  settlers_freighted;       // # settlers enroute, stored in settlers array:

//        struct Settler_Info {
//              unsigned source_colony:8; // colony id or MAX_COLONIES if already in space (cannot be redirected)
//              unsigned dest_planet:8;   // planet id
//              unsigned player:4;        // player id or POP_ANDROID or POP_NATIVE
//              unsigned eta:4;           // if settler, takes this many turns to arrive
//              unsigned job:2;
//        };


   struct Settler_Info settlers[25]; // slots < settlers_freighted are current settlers

   short int  total_pop;                  // of all our colonies

   // total amounts produced by all colonies this turn:
   short int  food_produced;
   short int  industry_produced;
   short int  research_produced;
   short int  bc_produced;

   // following are >0 if we had extra, <0 if we were short, this turn:
   short int  surplus_food; // only accounting for unblockaded colonies
   short int  surplus_bc;

   // maintenance bc costs:
   int total_maintenance;
   short int maintenance[n_maintenance_classes]; // sum == total_maintenance

   char  tech_fields[MAX_TECH_FIELDS];              // 0-UNRESEARCHABLE, 1-NOT_KNOWN, 2-ON_RESEARCH_LIST, 3-KNOWN            
   char  tech_applications[MAX_TECH_APPLICATIONS];  // 0-UNRESEARCHABLE, 1-NOT_KNOWN, 2-ON_RESEARCH_LIST, 3-KNOWN  

   int   research_accumulated;
   char  captured_orion;
   char  captured_antares;
   char  won_council_vote;
   int   player_defeated[MAX_PLAYERS]; //stardate or 0
   unsigned short int captured_population;
   char  last_attacker;

   char  ship_design_theme;      //AI FIELDS
   char  ship_special_theme;     //AI FIELDS
   char  tech_apps_learned[4];   //bookeeping
   char  tech_modifiers[17];     //not in use

   char hyper_advanced_tech[8];  // LEVEL of hyper advanced tech achieved.

   int total_known_tech_cost;    // for history display

   char knows_racial_stats;      //not used

   int last_tech_report_date[MAX_PLAYERS];  //not used

   // bitfields, tell whether given player knows the app:
   uchar player_tech_applications[MAX_PLAYERS][(MAX_TECH_APPLICATIONS + 7) / 8];


   char  current_research_field;        // should be > 0, indicating which field
   char  current_research_application;  // 
   char  got_new_app;                   // within the last turn; causes AI to redecide field to research

   int   ship_range;

   struct s_ship_design  ship_designs[6];
   short int  ships_built[6];

   char  contact[MAX_PLAYERS];
   char just_established_contact;       // bitvector by player index
   char n_times_established_contact[MAX_PLAYERS];
   char  within_range[MAX_PLAYERS];     // tells if this player can reach that player
                                        // (contact is symmetric, within_range is not)

   char do_not_research;        // should the AI quit researching from now on?

   schar offensive_stagepoint;  //AI FIELD

   uchar best_ftl_drive;
   uchar ship_speed;

   char officer_for_hire;       // -1 or id of available officer this turn

   short int n_trade_pops;
   short int current_trade_agreement_level[MAX_PLAYERS];
   short int trade_agreement_goal[MAX_PLAYERS];

   short int n_research_pops;
   short int current_research_agreement_level[MAX_PLAYERS];
   short int research_agreement_goal[MAX_PLAYERS];

   char fighter_beam_type; 
   char fighter_bomb_type; 


   short int  total_research;                           //AI Field
   short int  total_ships;                              //AI Field
   unsigned long int total_ship_strength[MAX_PLAYERS];  //AI Field
   short int  total_colonies;                           //AI Field
   char  failed_to_expand;                              //AI Field


//อออออออdiplomacy stuff ออออออออออออออออออออออออออออออออออออออออออออออออออออออออ
   char  first_contact[MAX_PLAYERS];
   char  relations[MAX_PLAYERS];
   char  base_relations[MAX_PLAYERS];

   char  treaty[MAX_PLAYERS];  
